file,line,type,snippet
"apps\api\src\router\interviews.ts",6,MARKER,"// Minimal placeholder router for ""interviews"" (replace with real tRPC wiring later)."
"apps\api\src\router\interviews.ts",7,CAST_ANY,"export const interviewsRouter = {} as any;"
"apps\api\src\router\metrics.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\metrics.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\metrics.ts",6,MARKER,"// Minimal placeholder router for ""metrics"" (replace with real tRPC wiring later)."
"apps\api\src\router\metrics.ts",7,CAST_ANY,"export const metricsRouter = {} as any;"
"apps\api\src\router\networking.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\networking.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\networking.ts",6,MARKER,"// Minimal placeholder router for ""networking"" (replace with real tRPC wiring later)."
"apps\api\src\router\networking.ts",7,CAST_ANY,"export const networkingRouter = {} as any;"
"apps\api\src\router\notifications.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\notifications.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\notifications.ts",6,MARKER,"// Minimal placeholder router for ""notifications"" (replace with real tRPC wiring later)."
"apps\api\src\router\notifications.ts",7,CAST_ANY,"export const notificationsRouter = {} as any;"
"apps\api\src\router\onboarding.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\onboarding.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\onboarding.ts",6,MARKER,"// Minimal placeholder router for ""onboarding"" (replace with real tRPC wiring later)."
"apps\api\src\router\onboarding.ts",7,CAST_ANY,"export const onboardingRouter = {} as any;"
"apps\api\src\router\planner.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\planner.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\planner.ts",6,MARKER,"// Minimal placeholder router for ""planner"" (replace with real tRPC wiring later)."
"apps\api\src\router\planner.ts",7,CAST_ANY,"export const plannerRouter = {} as any;"
"apps\api\src\router\profile.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\profile.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\profile.ts",6,MARKER,"// Minimal placeholder router for ""profile"" (replace with real tRPC wiring later)."
"apps\api\src\router\profile.ts",7,CAST_ANY,"export const profileRouter = {} as any;"
"apps\api\src\router\resume.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\resume.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\resume.ts",6,MARKER,"// Minimal placeholder router for ""resume"" (replace with real tRPC wiring later)."
"apps\api\src\router\resume.ts",7,CAST_ANY,"export const resumeRouter = {} as any;"
"apps\api\src\router\roadmap.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\roadmap.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\roadmap.ts",6,MARKER,"// Minimal placeholder router for ""roadmap"" (replace with real tRPC wiring later)."
"apps\api\src\router\roadmap.ts",7,CAST_ANY,"export const roadmapRouter = {} as any;"
"apps\api\src\router\settings.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\settings.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\settings.ts",6,MARKER,"// Minimal placeholder router for ""settings"" (replace with real tRPC wiring later)."
"apps\api\src\router\settings.ts",7,CAST_ANY,"export const settingsRouter = {} as any;"
"apps\api\src\router\skills.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\skills.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\skills.ts",6,MARKER,"// Minimal placeholder router for ""skills"" (replace with real tRPC wiring later)."
"apps\api\src\router\skills.ts",7,CAST_ANY,"export const skillsRouter = {} as any;"
"apps\api\src\router\summary.ts",25,DOUBLE_CAST,"status: g.status as unknown as string,"
"apps\api\src\router\summary.ts",36,DOUBLE_CAST,"source: g.source as unknown as string,"
"apps\api\src\router\summary.ts",76,DOUBLE_CAST,"status: a.status as unknown as string,"
"apps\api\src\router\__tests__\achievements.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\achievements.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\activity.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\activity.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\applications.spec.ts",10,CAST_ANY,"const caller = r.createCaller({ prisma: { application: { create } } } as any);"
"apps\api\src\router\__tests__\applications.spec.ts",16,CAST_ANY,"} as any; // zod will enforce at runtime; TS not strict here"
"apps\api\src\router\__tests__\applications.spec.ts",28,CAST_ANY,"const caller = r.createCaller({ prisma: { application: { findMany } } } as any);"
"apps\api\src\router\__tests__\auth.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\auth.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\calendar.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\calendar.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\dashboard.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\dashboard.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\demo.spec.ts",7,CAST_ANY,"const caller = r.createCaller({} as any);"
"apps\api\src\router\__tests__\goals.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\goals.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\insights.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\insights.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\interviews.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\interviews.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\metrics.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\metrics.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\networking.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\networking.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\notifications.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\notifications.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\onboarding.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\onboarding.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\planner.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\planner.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\profile.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\profile.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\resume.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\resume.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\roadmap.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\roadmap.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\settings.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\settings.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\skills.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\skills.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\summary.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\summary.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\router\__tests__\system.spec.ts",7,CAST_ANY,"const caller = r.createCaller({} as any);"
"apps\api\src\router\__tests__\tracker.spec.ts",1,MARKER,"/** STUB:PHASE3"
"apps\api\src\router\__tests__\tracker.spec.ts",2,MARKER,"* This is a scaffold placeholder. Replace with a real implementation."
"apps\api\src\server\db.ts",3,DOUBLE_CAST,"const globalForPrisma = globalThis as unknown as { prisma?: PrismaClient };"
"apps\api\src\trpc\context.ts",8,MARKER,"// TODO: add real auth/session later (e.g., userId)"
"apps\api\src\trpc\trpc.ts",13,MARKER,"// (Optional) temp alias if routers still import `procedure`"
"CONTRIBUTING.md",19,MARKER,"- Stub gate is extended to 2025-11-30; replace stubs gradually and keep CI green."
"pnpm-lock.yaml",458,MARKER,"'@babel/plugin-proposal-private-property-in-object@7.21.0-placeholder-for-preset-env.2':"
"pnpm-lock.yaml",8409,MARKER,"'@babel/plugin-proposal-private-property-in-object@7.21.0-placeholder-for-preset-env.2(@babel/core@7.28.0)':"
"pnpm-lock.yaml",8916,MARKER,"'@babel/plugin-proposal-private-property-in-object': 7.21.0-placeholder-for-preset-env.2(@babel/core@7.28.0)"
"scans\stub-report-2025-09-09T12-09-05-411Z.json",13,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",14,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",20,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",21,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",27,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",28,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",34,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",35,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",41,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",42,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",48,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",49,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",55,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",56,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",62,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",63,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",69,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",70,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",76,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",77,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",83,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",84,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",90,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",91,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",97,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",98,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",104,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",105,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",111,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",112,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",118,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",119,MARKER,"""reason"": ""placeholder test"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",125,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",126,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",132,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",133,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",146,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",147,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",153,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",154,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",160,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",161,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",167,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",168,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",174,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",175,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",181,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",182,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",188,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",189,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",195,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",196,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",202,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",203,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",209,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",210,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",216,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",217,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",223,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",224,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",230,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",231,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",237,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",238,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",244,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",245,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",251,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",252,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",258,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",259,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",265,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",266,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",272,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",273,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",279,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",280,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",286,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",287,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",293,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",294,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",300,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",301,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",307,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",308,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",314,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",315,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",321,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",322,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",328,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",329,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",335,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",336,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",342,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",343,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",349,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",350,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",356,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",357,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",363,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",364,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",370,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",371,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",377,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",378,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",384,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",385,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",391,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",392,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",398,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",399,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",405,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",406,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",412,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",413,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",419,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",420,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",426,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",427,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",433,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",434,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",440,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",441,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",447,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",448,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",454,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",455,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",461,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",462,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",468,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",469,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",475,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",476,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",482,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",483,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",489,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",490,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",496,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",497,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",503,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",504,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",510,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",511,MARKER,"""reason"": ""STUB:PHASE3 header"""
"scans\stub-report-2025-09-09T12-09-05-411Z.json",517,MARKER,"""status"": ""STUB"","
"scans\stub-report-2025-09-09T12-09-05-411Z.json",518,MARKER,"""reason"": ""STUB:PHASE3 header"""
